STUDY_ID	SAMPLE_ID	HLA-A	HLA-B	HLA-C
brca_tcga_pub	TCGA-BH-A0EB-01	1.1934	1.1426	1.3619
brca_tcga_pub	TCGA-BH-A0H6-01	-0.9832	-0.876	-0.8698
brca_tcga_pub	TCGA-A2-A0YD-01	0.3339	0.3628	0.4636
brca_tcga_pub	TCGA-BH-A0HB-01	-0.0345	-0.4062	0.1416
brca_tcga_pub	TCGA-BH-A0HX-01	-0.3433	-0.2409	-0.7519
brca_tcga_pub	TCGA-AO-A12H-01	0.8603	0.5254	0.2371
brca_tcga_pub	TCGA-E2-A10E-01	-0.0199	0.2862	0.2466
brca_tcga_pub	TCGA-A2-A0D3-01	-0.1698	-0.5093	-0.7675
brca_tcga_pub	TCGA-E2-A10F-01	0.5089	0.8839	0.3029
brca_tcga_pub	TCGA-AO-A03V-01	0.1283	0.1674	-0.0393
brca_tcga_pub	TCGA-A2-A0EW-01	0.4476	0.428	0.7997
brca_tcga_pub	TCGA-BH-A0GY-01	-0.2538	-0.2441	-0.2603
brca_tcga_pub	TCGA-A2-A0EV-01	0.8789	0.7641	0.4618
brca_tcga_pub	TCGA-BH-A0BC-01	0.7169	0.7907	0.7065
brca_tcga_pub	TCGA-A2-A0YC-01	0.0671	0.4341	-0.0353
brca_tcga_pub	TCGA-A2-A0EU-01	-1.3303	-1.0288	-1.3976
brca_tcga_pub	TCGA-A2-A0ET-01	0.6583	0.8743	0.427
brca_tcga_pub	TCGA-A2-A04Y-01	-0.2655	-0.2234	-0.0557
brca_tcga_pub	TCGA-BH-A0HQ-01	-0.695	-0.8334	0.3152
brca_tcga_pub	TCGA-A2-A0ES-01	-0.9023	-0.5014	-0.77
brca_tcga_pub	TCGA-BH-A0BA-01	-0.3389	-0.3853	0.1172
brca_tcga_pub	TCGA-E2-A10B-01	0.5791	1.3187	0.7587
brca_tcga_pub	TCGA-BH-A0B1-01	-0.272	0.5426	-0.1796
brca_tcga_pub	TCGA-BH-A0DH-01	0.2554	-0.0799	0.128
brca_tcga_pub	TCGA-BH-A0B4-01	-0.2634	-0.5745	-0.2474
