STUDY_ID	SAMPLE_ID	CD274
brca_tcga	TCGA-AR-A24W-01	-0.1259
brca_tcga	TCGA-AR-A24X-01	-0.1768
brca_tcga	TCGA-AR-A24Z-01	-0.2021
brca_tcga	TCGA-AR-A250-01	0.1887
brca_tcga	TCGA-AR-A251-01	0.2816
brca_tcga	TCGA-AR-A252-01	1.6962
brca_tcga	TCGA-AR-A254-01	1.1208
brca_tcga	TCGA-AR-A255-01	0.2588
brca_tcga	TCGA-AR-A256-01	-0.2044
brca_tcga	TCGA-BH-A203-01	-0.2932
brca_tcga	TCGA-C8-A278-01	1.1667
brca_tcga	TCGA-C8-A27A-01	-0.371
brca_tcga	TCGA-C8-A27B-01	3.5502
brca_tcga	TCGA-E9-A1QZ-01	-0.074
brca_tcga	TCGA-E9-A1RH-01	-0.278
brca_tcga	TCGA-E9-A1RI-01	-0.1414
brca_tcga	TCGA-E9-A243-01	1.8745
brca_tcga	TCGA-E9-A244-01	-0.5739
brca_tcga	TCGA-E9-A247-01	-0.4832
brca_tcga	TCGA-E9-A248-01	2.327
brca_tcga	TCGA-E9-A249-01	0.3138
brca_tcga	TCGA-E9-A24A-01	0.021
brca_tcga	TCGA-A2-A259-01	1.0948
brca_tcga	TCGA-A2-A25A-01	0.1423
brca_tcga	TCGA-A2-A25D-01	0.4503
brca_tcga	TCGA-BH-A28Q-01	-0.3843
brca_tcga	TCGA-C8-A26V-01	-0.0577
brca_tcga	TCGA-C8-A26W-01	-0.1558
brca_tcga	TCGA-C8-A26X-01	0.5778
brca_tcga	TCGA-C8-A26Y-01	0.4552
brca_tcga	TCGA-C8-A26Z-01	-0.526
brca_tcga	TCGA-C8-A273-01	-0.498
brca_tcga	TCGA-C8-A274-01	-0.3845
brca_tcga	TCGA-C8-A275-01	0.9411
brca_tcga	TCGA-D8-A27E-01	-0.3719
brca_tcga	TCGA-D8-A27F-01	-0.333
brca_tcga	TCGA-D8-A27G-01	-0.1723
brca_tcga	TCGA-D8-A27H-01	-0.5168
brca_tcga	TCGA-D8-A27I-01	0.0008
brca_tcga	TCGA-D8-A27K-01	-0.2391
brca_tcga	TCGA-D8-A27L-01	0.1142
brca_tcga	TCGA-D8-A27M-01	3.6252
brca_tcga	TCGA-D8-A27N-01	-0.409
brca_tcga	TCGA-D8-A27P-01	-0.2536
brca_tcga	TCGA-D8-A27R-01	-0.3935
brca_tcga	TCGA-D8-A27T-01	0.573
brca_tcga	TCGA-D8-A27W-01	-0.2246
brca_tcga	TCGA-E9-A1R0-01	-0.1269
brca_tcga	TCGA-E9-A245-01	-0.4508
brca_tcga	TCGA-E9-A295-01	-0.4444
brca_tcga	TCGA-GI-A2C8-01	0.2472
brca_tcga	TCGA-AC-A2B8-01	-0.0392
brca_tcga	TCGA-AC-A2FB-01	1.3231
brca_tcga	TCGA-AC-A2FF-01	0.0115
brca_tcga	TCGA-AC-A2FG-01	-0.3151
brca_tcga	TCGA-D8-A27V-01	0.409
brca_tcga	TCGA-EW-A2FS-01	-0.4942
brca_tcga	TCGA-EW-A2FV-01	0.0335
brca_tcga	TCGA-EW-A2FW-01	-0.6132
brca_tcga	TCGA-AC-A2FK-01	0.0985
brca_tcga	TCGA-AC-A2FO-01	0.0807
brca_tcga	TCGA-AR-A2LE-01	0.2487
brca_tcga	TCGA-AR-A2LK-01	-0.4651
brca_tcga	TCGA-AR-A2LL-01	-0.3446
brca_tcga	TCGA-AR-A2LM-01	-0.1121
brca_tcga	TCGA-E9-A2JS-01	-0.1681
brca_tcga	TCGA-GM-A2DD-01	0.4464
brca_tcga	TCGA-GM-A2DF-01	-0.3377
brca_tcga	TCGA-GM-A2DH-01	2.0527
brca_tcga	TCGA-GM-A2DK-01	-0.5295
