STUDY_ID	SAMPLE_ID	JAK1	JAK2	STAT1	STAT3	IRF1	IFNGR1	IFNG
brca_tcga	TCGA-E2-A1IO-01	0.7709	-0.2004	-0.5831	0.2134	-0.2646	0.0689	-0.2354
brca_tcga	TCGA-E2-A1L7-01	0.766	-0.1649	2.5194	-1.7541	1.8662	-0.7221	0.3923
brca_tcga	TCGA-E2-A1LA-01	-1.1015	-0.8079	0.0569	-1.0091	0.9098	-0.4992	1.1873
brca_tcga	TCGA-E2-A1LB-01	0.0012	-1.3048	-0.5973	-1.1242	-0.9074	5.607	-0.2843
brca_tcga	TCGA-E2-A1LL-01	-0.4781	-1.5678	-0.654	-1.486	-0.9411	-0.5295	-0.3355
brca_tcga	TCGA-E9-A1N8-01	-0.1475	-0.8461	-0.2871	-0.1306	-0.6436	3.396	-0.1236
brca_tcga	TCGA-E9-A1NA-01	1.6814	-0.578	-0.2359	-1.7101	-0.1469	-0.1775	-0.3467
brca_tcga	TCGA-E9-A1ND-01	-0.0082	2.7397	4.6123	-0.0458	2.98	2.9009	2.5913
brca_tcga	TCGA-EW-A1IX-01	0.6296	0.9222	-0.6727	0.121	-0.5184	-0.2782	-0.2829
brca_tcga	TCGA-EW-A1OV-01	-0.3383	0.3504	0.9758	0.3769	1.1995	0.0563	1.3632
brca_tcga	TCGA-EW-A1OX-01	0.0474	-0.8622	0.7741	-0.3329	-0.1173	-1.4915	-0.3596
brca_tcga	TCGA-EW-A1OY-01	-1.1827	-1.1352	-0.4341	-0.9148	-0.5666	-1.2543	-0.3596
brca_tcga	TCGA-EW-A1OZ-01	-1.3459	-0.6706	-0.0591	-1.4919	-0.6711	-0.734	-0.3596
brca_tcga	TCGA-EW-A1P0-01	-1.1465	-0.9616	-0.3247	0.0556	-0.8359	-1.325	-0.3409
brca_tcga	TCGA-EW-A1P3-01	-0.3903	-1.196	-0.6368	-0.1425	0.4911	-0.575	-0.3596
brca_tcga	TCGA-EW-A1P4-01	-1.0465	-0.6255	1.1978	0.1806	1.9523	-0.2928	1.8821
brca_tcga	TCGA-EW-A1P5-01	0.0873	-0.4552	3.1442	0.6042	1.414	-0.4449	-0.2799
brca_tcga	TCGA-EW-A1P6-01	2.1364	1.1497	-0.8808	-0.994	-0.9538	-1.1281	-0.3596
brca_tcga	TCGA-EW-A1P7-01	1.532	1.2456	1.2118	-1.7375	1.6398	0.9311	0.2297
brca_tcga	TCGA-EW-A1P8-01	-0.5222	-0.1272	-0.601	-0.6072	-0.2363	2.024	-0.3146
brca_tcga	TCGA-EW-A1PA-01	0.6357	-0.7553	-0.4755	-1.3755	-0.613	-0.513	-0.3017
brca_tcga	TCGA-EW-A1PB-01	-0.4128	4.7323	1.5308	-0.6648	6.84	2.9454	4.3706
brca_tcga	TCGA-EW-A1PD-01	0.8395	-0.6464	-0.8088	0.3029	-0.7219	-0.5999	-0.3455
brca_tcga	TCGA-EW-A1PE-01	0.3531	1.4916	3.183	1.9165	1.0222	-0.0545	0.1995
brca_tcga	TCGA-EW-A1PG-01	2.1287	0.2659	-0.6805	3.3613	-0.3132	2.464	-0.3596
brca_tcga	TCGA-A2-A1FZ-01	0.8486	0.3816	-0.5783	0.9866	-0.6818	-0.1699	-0.273
brca_tcga	TCGA-BH-A1FU-01	0.8918	-0.0664	-0.5222	-0.9887	-0.585	0.7096	-0.2871
brca_tcga	TCGA-D8-A1X5-01	-1.231	-0.7329	-0.0671	-2.0921	-0.2639	0.0666	-0.25
brca_tcga	TCGA-D8-A1XA-01	-0.613	-1.0389	-0.3767	1.197	-0.3517	-1.3389	-0.2917
brca_tcga	TCGA-D8-A1XB-01	1.3832	-0.02	-0.7259	0.6967	-0.3131	-0.8136	-0.283
brca_tcga	TCGA-D8-A1XC-01	-0.5014	-0.9967	-0.8201	1.4257	-0.4499	-0.7098	-0.3596
brca_tcga	TCGA-D8-A1XF-01	-1.4218	-0.9277	0.1126	-0.9686	-0.88	-1.4473	-0.3157
brca_tcga	TCGA-D8-A1XG-01	-0.8097	-0.8671	-0.203	0.3448	-0.5329	-0.468	-0.3596
brca_tcga	TCGA-E2-A1IL-01	0.36	-0.1203	0.0162	0.7856	-0.2639	-0.9998	-0.2252
brca_tcga	TCGA-E2-A1IU-01	-0.2969	-0.5296	-0.491	-0.1228	-0.3748	-0.1996	-0.308
brca_tcga	TCGA-E2-A1LH-01	-0.8725	-0.6485	0.5144	-1.1854	1.6761	-0.5418	1.9674
brca_tcga	TCGA-E2-A1LK-01	-1.2075	-1.4649	-0.2496	6.1722	-0.8481	-0.0938	-0.335
brca_tcga	TCGA-E9-A1N5-01	0.8274	1.9718	0.1536	-1.3582	0.1439	-1.0134	-0.1325
brca_tcga	TCGA-E9-A1N9-01	0.9417	-0.6803	-0.1844	-1.3776	-0.7463	-0.5482	-0.3025
brca_tcga	TCGA-E9-A1NF-01	-0.0227	-0.3473	-0.0929	-1.4339	-0.2961	0.2154	-0.23
brca_tcga	TCGA-E9-A1NH-01	0.6508	-0.0176	-0.4863	-0.1557	-0.4132	1.0346	-0.266
brca_tcga	TCGA-E9-A1NI-01	-0.4077	-1.1052	-0.1946	-0.6827	-0.3322	-0.5043	-0.3596
brca_tcga	TCGA-E9-A1R2-01	0.757	-0.9017	0.471	1.4347	-0.6489	-0.5834	-0.244
brca_tcga	TCGA-E9-A1R4-01	-0.4252	-0.0927	2.1209	-0.4273	1.3433	-0.5946	0.2063
brca_tcga	TCGA-E9-A1R6-01	-0.9139	-1.0644	-0.5628	-1.0218	-0.3591	-1.2749	-0.3596
brca_tcga	TCGA-E9-A1RA-01	0.0038	0.5615	-0.7739	-0.5256	0.096	-0.2802	-0.3202
brca_tcga	TCGA-E9-A1RG-01	-1.3659	-1.5993	-0.7628	-1.581	0.1225	-0.1066	-0.1661
brca_tcga	TCGA-EW-A1P1-01	0.8028	0.2823	-0.4669	0.766	0.2118	1.3949	-0.211
brca_tcga	TCGA-AQ-A0Y5-01	-0.8881	-0.9271	-0.5304	0.5966	-0.7834	0.6836	-0.3448
brca_tcga	TCGA-B6-A1KI-01	-0.0598	-0.4118	-0.8436	0.738	-0.3948	0.5152	-0.3473
brca_tcga	TCGA-BH-A201-01	2.208	0.2163	-0.4005	2.1175	-0.6186	0.5621	-0.3468
brca_tcga	TCGA-BH-A202-01	-0.655	0.178	1.0822	5.1449	0.9568	-0.392	0.5907
brca_tcga	TCGA-D8-A1JJ-01	-0.2068	-0.9699	0.1585	-0.7153	-0.4428	0.277	-0.2734
brca_tcga	TCGA-D8-A1X6-01	0.1451	-0.8784	-0.3543	-0.6784	-0.3913	0.7144	-0.3276
brca_tcga	TCGA-D8-A1X7-01	3.5165	0.3563	-0.6565	0.0705	-0.908	-0.9192	-0.3481
brca_tcga	TCGA-D8-A1X8-01	-0.113	-0.115	-0.3007	0.5783	-0.5239	0.9318	-0.3063
